"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 12 16:06:32 GMT 2024","Thu Sep 12 16:07:23 GMT 2024","51542","Tests","test_purchase","TestProgmusix","","","test_paying",""
"passed","Thu Sep 12 16:06:18 GMT 2024","Thu Sep 12 16:06:22 GMT 2024","3538","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_password",""
"passed","Thu Sep 12 16:06:02 GMT 2024","Thu Sep 12 16:06:02 GMT 2024","10","Tests","test_registration","TestProgmusix","","","test_change_admin_email",""
"passed","Thu Sep 12 16:06:13 GMT 2024","Thu Sep 12 16:06:17 GMT 2024","4492","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_email",""
"passed","Thu Sep 12 16:05:14 GMT 2024","Thu Sep 12 16:06:01 GMT 2024","46761","Tests","test_registration","TestProgmusix","","","test_reg_email",""
"passed","Thu Sep 12 16:06:30 GMT 2024","Thu Sep 12 16:06:30 GMT 2024","9","Tests","test_login","TestProgmusix","","","test_user_role",""
"passed","Thu Sep 12 16:06:03 GMT 2024","Thu Sep 12 16:06:06 GMT 2024","2505","Tests","test_reg_negative","TestProgmusix","","","test_reg_TAB",""
"passed","Thu Sep 12 16:06:23 GMT 2024","Thu Sep 12 16:06:26 GMT 2024","3504","Tests","test_reg_negative","TestProgmusix","","","test_reg_dif_password",""
"passed","Thu Sep 12 16:06:08 GMT 2024","Thu Sep 12 16:06:12 GMT 2024","4445","Tests","test_reg_negative","TestProgmusix","","","test_reg_invalid_username",""
"passed","Thu Sep 12 16:05:04 GMT 2024","Thu Sep 12 16:05:13 GMT 2024","9488","Tests","test_registration","TestProgmusix","","","test_regtest",""
"passed","Thu Sep 12 16:06:06 GMT 2024","Thu Sep 12 16:06:07 GMT 2024","548","Tests","test_reg_negative","TestProgmusix","","","test_reg_negative",""
"passed","Thu Sep 12 16:06:28 GMT 2024","Thu Sep 12 16:06:29 GMT 2024","1395","Tests","test_login","TestProgmusix","","","test_login_positive",""
